student_id,branch,cgpa,coding_score,aptitude_score,communication_score,projects,internships,cgpa_band,coding_score_band,aptitude_score_band,communication_score_band,technical_skill_count,skill_gap_count,missing_skills
S0375,CE,8.1,95.47,71.58,83.68,2,1,4. 8.0 – 8.99,5. 90 – 100,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0376,ME,7.35,77.3,73.73,77.2,2,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,3,4,Python; Power BI; Cloud; Cybersecurity
S0377,EEE,6.32,61.0,65.03,80.25,2,1,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,3,4,Python; Excel; Cloud; Cybersecurity
S0378,CSE,7.74,73.28,81.44,79.9,0,0,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,5,2,DSA; Cybersecurity
S0379,ECE,6.32,76.07,72.48,69.31,2,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,Power BI; Cloud; Cybersecurity
S0380,CSE,7.81,65.82,84.5,96.0,2,0,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,5,2,Cloud; Cybersecurity
S0381,CE,7.32,62.77,79.12,89.25,0,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0382,EEE,8.1,70.93,73.76,69.3,0,0,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,3,4,Power BI; DSA; Cloud; Cybersecurity
S0383,CSE,8.08,56.64,60.63,76.58,1,0,4. 8.0 – 8.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,3,4,Python; Power BI; Cloud; Cybersecurity
S0384,EEE,8.58,81.92,85.26,82.31,1,1,4. 8.0 – 8.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,7,0,None
S0385,ECE,9.82,98.5,79.71,86.54,2,1,5. 9.0 – 10.0,5. 90 – 100,3. 65 – 79,4. 80 – 89,4,3,Power BI; Cloud; Cybersecurity
S0386,IT,7.32,78.57,92.28,88.27,3,1,3. 7.0 – 7.99,3. 65 – 79,5. 90 – 100,4. 80 – 89,5,2,Power BI; Cloud
S0387,IT,4.56,71.44,45.49,96.0,2,0,1. < 6.0,3. 65 – 79,1. < 50,5. 90 – 100,4,3,Power BI; Cloud; Cybersecurity
S0388,EEE,6.85,58.63,65.31,96.0,1,1,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,4,3,Power BI; DSA; Cybersecurity
S0389,ECE,6.64,68.28,78.84,86.88,2,2,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Excel; Cloud; Cybersecurity
S0390,EEE,6.16,68.93,74.72,91.85,2,2,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,3,4,Python; Power BI; Cloud; Cybersecurity
S0391,ME,5.99,67.24,61.14,70.78,1,0,1. < 6.0,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Excel; DSA; Cloud
S0392,CSE,6.11,58.1,72.24,94.58,2,2,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,4,3,Power BI; Cloud; Cybersecurity
S0393,CSE,6.71,80.93,70.51,76.76,1,1,2. 6.0 – 6.99,4. 80 – 89,3. 65 – 79,3. 65 – 79,3,4,Excel; DSA; Cloud; Cybersecurity
S0394,CSE,7.14,73.48,65.94,96.0,2,3,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,6,1,Cybersecurity
S0395,CSE,9.39,80.13,89.47,96.0,2,1,5. 9.0 – 10.0,4. 80 – 89,4. 80 – 89,5. 90 – 100,6,1,Cybersecurity
S0396,CSE,8.3,77.57,97.0,62.31,1,0,4. 8.0 – 8.99,3. 65 – 79,5. 90 – 100,2. 50 – 64,5,2,SQL; Cloud
S0397,IT,6.57,50.73,70.72,67.55,1,0,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
S0398,ME,7.39,67.65,70.87,55.83,0,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,2. 50 – 64,5,2,DSA; Cybersecurity
S0399,ECE,6.4,68.02,57.53,59.76,1,2,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,2. 50 – 64,2,5,Python; SQL; Power BI; Cloud; Cybersecurity
S0400,ECE,7.23,83.68,60.43,69.9,2,0,3. 7.0 – 7.99,4. 80 – 89,2. 50 – 64,3. 65 – 79,6,1,Cybersecurity
S0401,EEE,7.67,62.82,59.65,96.0,1,0,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,5,2,Cloud; Cybersecurity
S0402,CSE,6.89,75.81,62.15,80.86,1,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,5,2,Cloud; Cybersecurity
S0403,CSE,6.33,68.16,64.14,59.8,2,1,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,2. 50 – 64,4,3,Python; Cloud; Cybersecurity
S0404,IT,5.38,54.49,70.68,80.53,1,1,1. < 6.0,2. 50 – 64,3. 65 – 79,4. 80 – 89,2,5,Python; SQL; Excel; Cloud; Cybersecurity
S0405,CSE,8.87,85.32,97.0,84.26,1,1,4. 8.0 – 8.99,4. 80 – 89,5. 90 – 100,4. 80 – 89,4,3,DSA; Cloud; Cybersecurity
S0406,CSE,6.81,79.17,73.14,95.31,3,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,Power BI; Cloud
S0407,ME,9.02,80.93,92.83,89.09,3,2,5. 9.0 – 10.0,4. 80 – 89,5. 90 – 100,4. 80 – 89,4,3,Power BI; Cloud; Cybersecurity
S0408,IT,7.28,86.33,73.8,96.0,3,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,5. 90 – 100,4,3,Excel; Power BI; Cybersecurity
S0409,CSE,6.19,67.6,61.45,74.17,0,1,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,5,2,DSA; Cloud
S0410,IT,6.04,66.3,70.94,41.6,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,1. < 50,4,3,Excel; Cloud; Cybersecurity
S0411,CSE,8.05,88.85,83.69,82.05,2,1,4. 8.0 – 8.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,6,1,Cybersecurity
S0412,ECE,6.1,66.53,82.16,84.9,3,0,2. 6.0 – 6.99,3. 65 – 79,4. 80 – 89,4. 80 – 89,6,1,Cybersecurity
S0413,CSE,5.54,59.4,55.34,64.61,2,1,1. < 6.0,2. 50 – 64,2. 50 – 64,2. 50 – 64,4,3,Power BI; Cloud; Cybersecurity
S0414,ECE,5.9,75.41,73.66,70.03,1,3,1. < 6.0,3. 65 – 79,3. 65 – 79,3. 65 – 79,5,2,Python; Cybersecurity
S0415,ECE,6.57,61.0,66.92,82.06,0,3,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,5,2,Python; Cloud
S0416,CSE,5.37,70.71,67.05,68.21,5,0,1. < 6.0,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,Excel; Cloud; Cybersecurity
S0417,CSE,8.18,77.32,63.11,76.48,2,1,4. 8.0 – 8.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Power BI; DSA; Cybersecurity
S0418,CSE,7.81,80.38,84.87,96.0,2,2,3. 7.0 – 7.99,4. 80 – 89,4. 80 – 89,5. 90 – 100,6,1,Power BI
S0419,ME,6.53,67.86,60.16,88.4,2,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,3,4,SQL; Power BI; Cloud; Cybersecurity
S0420,CSE,6.87,77.01,64.7,83.17,1,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,6,1,Cloud
S0421,CSE,8.3,84.81,79.14,88.15,2,0,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0422,ECE,5.87,82.43,64.45,79.62,4,0,1. < 6.0,4. 80 – 89,2. 50 – 64,3. 65 – 79,4,3,SQL; Power BI; DSA
S0423,ECE,8.58,75.83,80.79,59.01,1,0,4. 8.0 – 8.99,3. 65 – 79,4. 80 – 89,2. 50 – 64,5,2,Power BI; Cybersecurity
S0424,IT,7.5,72.09,71.53,96.0,2,2,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,DSA; Cloud
S0425,CSE,6.03,74.73,69.4,62.57,3,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,2. 50 – 64,6,1,Cybersecurity
S0426,ECE,7.41,59.14,63.75,81.57,2,1,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,4. 80 – 89,2,5,Python; Power BI; DSA; Cloud; Cybersecurity
S0427,CSE,7.58,65.76,80.72,95.24,1,1,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,6,1,Cybersecurity
S0428,ECE,7.5,62.6,65.53,79.9,2,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,6,1,Cybersecurity
S0429,CSE,6.06,66.03,87.76,87.1,0,1,2. 6.0 – 6.99,3. 65 – 79,4. 80 – 89,4. 80 – 89,5,2,Cloud; Cybersecurity
S0430,IT,6.5,86.44,53.35,64.51,3,0,2. 6.0 – 6.99,4. 80 – 89,2. 50 – 64,2. 50 – 64,5,2,Power BI; DSA
S0431,EEE,7.23,55.29,73.87,80.71,1,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,3,4,Python; SQL; Power BI; Cybersecurity
S0432,CSE,9.11,76.82,88.28,65.01,1,1,5. 9.0 – 10.0,3. 65 – 79,4. 80 – 89,3. 65 – 79,5,2,Cloud; Cybersecurity
S0433,ECE,7.55,72.21,67.47,80.9,2,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0434,CSE,9.02,64.07,77.05,74.13,2,1,5. 9.0 – 10.0,2. 50 – 64,3. 65 – 79,3. 65 – 79,6,1,Cybersecurity
S0435,CSE,6.72,62.09,59.36,69.56,0,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,1,6,Python; Excel; Power BI; DSA; Cloud; Cybersecurity
S0436,ME,9.59,80.56,87.4,81.37,3,1,5. 9.0 – 10.0,4. 80 – 89,4. 80 – 89,4. 80 – 89,4,3,SQL; Power BI; Cybersecurity
S0437,ECE,6.06,60.21,68.08,70.53,1,0,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,3,4,Python; DSA; Cloud; Cybersecurity
S0438,EEE,6.97,76.47,53.1,91.63,3,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,5. 90 – 100,4,3,DSA; Cloud; Cybersecurity
S0439,CSE,5.4,77.14,81.02,84.9,2,0,1. < 6.0,3. 65 – 79,4. 80 – 89,4. 80 – 89,5,2,Cloud; Cybersecurity
S0440,CSE,8.72,89.2,68.32,96.0,0,1,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,5. 90 – 100,3,4,Python; SQL; Cloud; Cybersecurity
S0441,CE,7.52,74.09,53.72,96.0,1,1,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,5. 90 – 100,7,0,None
S0442,CSE,6.97,76.12,48.6,95.81,2,2,2. 6.0 – 6.99,3. 65 – 79,1. < 50,5. 90 – 100,5,2,SQL; Cybersecurity
S0443,CE,7.65,63.57,63.99,74.79,1,1,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,3,4,Excel; Power BI; DSA; Cloud
S0444,CSE,6.72,86.77,68.98,56.55,2,1,2. 6.0 – 6.99,4. 80 – 89,3. 65 – 79,2. 50 – 64,3,4,Excel; Power BI; Cloud; Cybersecurity
S0445,ME,6.64,52.37,59.65,96.0,1,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,4,3,Excel; DSA; Cloud
S0446,CSE,7.03,68.25,81.82,70.75,2,0,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,5,2,Cloud; Cybersecurity
S0447,ECE,9.6,75.94,82.01,91.32,2,2,5. 9.0 – 10.0,3. 65 – 79,4. 80 – 89,5. 90 – 100,3,4,Excel; DSA; Cloud; Cybersecurity
S0448,ECE,6.88,95.86,70.34,55.54,5,0,2. 6.0 – 6.99,5. 90 – 100,3. 65 – 79,2. 50 – 64,6,1,Cybersecurity
S0449,IT,7.57,84.33,70.02,85.24,2,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,5,2,Power BI; Cybersecurity
S0450,CSE,7.29,71.54,84.54,95.46,1,0,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,4,3,Power BI; DSA; Cloud
S0451,ECE,6.66,84.49,90.12,80.16,0,2,2. 6.0 – 6.99,4. 80 – 89,5. 90 – 100,4. 80 – 89,3,4,Python; Excel; Power BI; Cloud
S0452,CE,8.26,98.5,74.53,92.3,4,0,4. 8.0 – 8.99,5. 90 – 100,3. 65 – 79,5. 90 – 100,4,3,Python; Cloud; Cybersecurity
S0453,ECE,7.26,68.98,92.11,80.58,2,1,3. 7.0 – 7.99,3. 65 – 79,5. 90 – 100,4. 80 – 89,5,2,DSA; Cybersecurity
S0454,EEE,7.8,41.65,62.45,68.09,2,1,3. 7.0 – 7.99,1. < 50,2. 50 – 64,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
S0455,EEE,7.13,64.85,78.38,96.0,3,3,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,3,4,Python; DSA; Cloud; Cybersecurity
S0456,EEE,7.26,52.29,64.7,86.66,2,2,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,4. 80 – 89,3,4,SQL; Power BI; Cloud; Cybersecurity
S0457,IT,5.9,64.63,85.88,68.21,4,0,1. < 6.0,2. 50 – 64,4. 80 – 89,3. 65 – 79,3,4,SQL; Power BI; Cloud; Cybersecurity
S0458,CSE,7.81,98.5,80.35,87.27,9,0,3. 7.0 – 7.99,5. 90 – 100,4. 80 – 89,4. 80 – 89,6,1,DSA
S0459,EEE,8.63,89.72,79.72,88.28,2,0,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,5,2,Power BI; Cybersecurity
S0460,CSE,7.0,64.44,61.52,96.0,4,1,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,5,2,Cloud; Cybersecurity
S0461,ECE,7.48,66.15,75.63,70.4,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
S0462,ECE,8.66,69.93,66.6,96.0,1,2,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,6,1,Cloud
S0463,ECE,6.03,64.04,61.91,69.4,1,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,2,5,Python; SQL; Power BI; Cloud; Cybersecurity
S0464,CSE,8.28,78.01,79.65,74.6,2,1,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,Power BI; DSA; Cloud
S0465,ECE,7.84,61.55,80.33,80.52,2,1,3. 7.0 – 7.99,2. 50 – 64,4. 80 – 89,4. 80 – 89,4,3,DSA; Cloud; Cybersecurity
S0466,ECE,7.37,84.49,69.13,47.75,1,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,1. < 50,3,4,Excel; Power BI; Cloud; Cybersecurity
S0467,ME,5.67,45.52,64.32,72.34,3,1,1. < 6.0,1. < 50,2. 50 – 64,3. 65 – 79,7,0,None
S0468,IT,8.83,92.39,97.0,83.9,1,2,4. 8.0 – 8.99,5. 90 – 100,5. 90 – 100,4. 80 – 89,5,2,Power BI; Cybersecurity
S0469,ECE,6.06,50.02,55.45,63.09,0,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,2. 50 – 64,3,4,SQL; Excel; Cloud; Cybersecurity
S0470,IT,6.65,51.4,67.91,72.11,2,0,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,4,3,SQL; Cloud; Cybersecurity
S0471,CSE,6.39,82.97,75.84,81.21,4,0,2. 6.0 – 6.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,6,1,Cybersecurity
S0472,ECE,7.64,60.57,69.07,80.78,1,0,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0473,CSE,6.57,83.58,73.26,57.37,2,1,2. 6.0 – 6.99,4. 80 – 89,3. 65 – 79,2. 50 – 64,5,2,Power BI; Cybersecurity
S0474,ECE,6.84,73.82,70.39,80.44,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,DSA; Cloud; Cybersecurity
S0475,IT,5.04,53.87,43.45,81.68,2,2,1. < 6.0,2. 50 – 64,1. < 50,4. 80 – 89,2,5,Python; Excel; Power BI; Cloud; Cybersecurity
S0476,ECE,5.08,55.27,43.39,56.62,1,2,1. < 6.0,2. 50 – 64,1. < 50,2. 50 – 64,3,4,Power BI; DSA; Cloud; Cybersecurity
S0477,ME,7.08,88.89,88.09,93.26,3,1,3. 7.0 – 7.99,4. 80 – 89,4. 80 – 89,5. 90 – 100,5,2,Cloud; Cybersecurity
S0478,ECE,6.97,55.81,60.92,91.0,1,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,2,5,SQL; Excel; Power BI; Cloud; Cybersecurity
S0479,EEE,6.57,64.84,83.67,82.17,2,0,2. 6.0 – 6.99,2. 50 – 64,4. 80 – 89,4. 80 – 89,4,3,DSA; Cloud; Cybersecurity
S0480,ECE,7.3,63.88,52.46,91.5,0,1,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,4,3,Excel; Power BI; Cybersecurity
S0481,IT,6.2,68.27,74.77,96.0,1,2,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,Power BI; Cloud
S0482,ECE,9.21,96.54,85.94,95.24,8,0,5. 9.0 – 10.0,5. 90 – 100,4. 80 – 89,5. 90 – 100,2,5,Python; SQL; Power BI; Cloud; Cybersecurity
S0483,CSE,7.43,65.0,72.96,96.0,1,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,4,3,Python; SQL; Cybersecurity
S0484,ECE,7.8,51.86,89.62,70.19,0,0,3. 7.0 – 7.99,2. 50 – 64,4. 80 – 89,3. 65 – 79,5,2,DSA; Cybersecurity
S0485,CSE,7.56,83.45,66.88,94.44,3,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,5. 90 – 100,5,2,Cloud; Cybersecurity
S0486,CSE,9.71,82.57,78.62,93.78,1,0,5. 9.0 – 10.0,4. 80 – 89,3. 65 – 79,5. 90 – 100,5,2,Cloud; Cybersecurity
S0487,IT,6.94,65.09,80.35,69.05,3,1,2. 6.0 – 6.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,6,1,Cybersecurity
S0488,CE,8.98,96.44,97.0,78.51,2,1,4. 8.0 – 8.99,5. 90 – 100,5. 90 – 100,3. 65 – 79,5,2,Cloud; Cybersecurity
S0489,ECE,8.73,84.95,90.31,66.38,4,0,4. 8.0 – 8.99,4. 80 – 89,5. 90 – 100,3. 65 – 79,6,1,Cloud
S0490,CSE,6.77,64.72,95.32,96.0,1,0,2. 6.0 – 6.99,2. 50 – 64,5. 90 – 100,5. 90 – 100,4,3,SQL; Power BI; Cloud
S0491,CSE,6.54,84.11,82.12,96.0,4,2,2. 6.0 – 6.99,4. 80 – 89,4. 80 – 89,5. 90 – 100,3,4,SQL; Excel; Power BI; Cybersecurity
S0492,IT,7.67,68.77,88.31,78.85,0,0,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,5,2,Power BI; Cybersecurity
S0493,ME,8.53,90.44,62.08,96.0,4,1,4. 8.0 – 8.99,5. 90 – 100,2. 50 – 64,5. 90 – 100,4,3,Python; Cloud; Cybersecurity
S0494,CSE,8.16,70.63,70.74,96.0,1,1,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,4,3,Python; Power BI; Cybersecurity
S0495,ME,5.09,57.73,50.4,77.39,1,0,1. < 6.0,2. 50 – 64,2. 50 – 64,3. 65 – 79,5,2,DSA; Cybersecurity
S0496,CSE,7.27,98.5,56.85,73.09,7,1,3. 7.0 – 7.99,5. 90 – 100,2. 50 – 64,3. 65 – 79,6,1,Cybersecurity
S0497,ECE,5.82,60.06,75.44,74.7,2,1,1. < 6.0,2. 50 – 64,3. 65 – 79,3. 65 – 79,6,1,Cybersecurity
S0498,IT,8.38,85.51,65.81,82.21,4,0,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,7,0,None
S0499,IT,6.09,54.87,50.01,77.96,2,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,4,3,Python; SQL; Cloud
S0500,CSE,8.17,74.45,66.0,69.54,2,0,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,5,2,Cloud; Cybersecurity
S0501,IT,7.78,58.8,93.81,87.26,2,0,3. 7.0 – 7.99,2. 50 – 64,5. 90 – 100,4. 80 – 89,4,3,Python; Cloud; Cybersecurity
S0502,CSE,6.72,77.52,46.77,76.34,1,1,2. 6.0 – 6.99,3. 65 – 79,1. < 50,3. 65 – 79,3,4,SQL; Power BI; DSA; Cybersecurity
S0503,CSE,7.3,80.21,73.33,47.4,2,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,1. < 50,5,2,DSA; Cybersecurity
S0504,EEE,5.37,51.98,52.07,75.82,3,2,1. < 6.0,2. 50 – 64,2. 50 – 64,3. 65 – 79,4,3,Python; Cloud; Cybersecurity
S0505,IT,7.08,73.11,75.55,84.22,1,5,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,SQL; Power BI; Cloud
S0506,ECE,5.82,49.89,56.02,58.48,0,3,1. < 6.0,1. < 50,2. 50 – 64,2. 50 – 64,4,3,SQL; Power BI; Cloud
S0507,CSE,5.63,53.75,65.39,86.22,1,2,1. < 6.0,2. 50 – 64,3. 65 – 79,4. 80 – 89,3,4,Excel; Power BI; Cloud; Cybersecurity
S0508,IT,6.41,76.36,79.82,73.5,4,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
S0509,ECE,8.02,75.88,76.1,83.54,3,0,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Power BI; Cloud; Cybersecurity
S0510,IT,6.78,66.4,73.33,73.53,2,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,3,4,Python; Power BI; DSA; Cloud
S0511,ECE,8.36,68.57,79.53,85.75,1,2,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,SQL; Cloud; Cybersecurity
S0512,CSE,7.77,97.62,63.24,84.63,3,0,3. 7.0 – 7.99,5. 90 – 100,2. 50 – 64,4. 80 – 89,2,5,SQL; Excel; Power BI; Cloud; Cybersecurity
S0513,CSE,6.09,55.0,94.1,91.29,3,0,2. 6.0 – 6.99,2. 50 – 64,5. 90 – 100,5. 90 – 100,3,4,Python; SQL; Power BI; Cloud
S0514,IT,6.47,83.54,51.11,94.51,3,0,2. 6.0 – 6.99,4. 80 – 89,2. 50 – 64,5. 90 – 100,6,1,Cybersecurity
S0515,ECE,8.55,93.9,78.98,74.31,2,0,4. 8.0 – 8.99,5. 90 – 100,3. 65 – 79,3. 65 – 79,4,3,Power BI; Cloud; Cybersecurity
S0516,IT,9.33,98.5,76.37,73.89,2,2,5. 9.0 – 10.0,5. 90 – 100,3. 65 – 79,3. 65 – 79,4,3,Power BI; DSA; Cybersecurity
S0517,IT,7.57,72.06,70.79,93.12,3,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,3,4,Python; SQL; Cloud; Cybersecurity
S0518,ME,7.03,79.6,68.89,96.0,3,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,2,5,Python; Power BI; DSA; Cloud; Cybersecurity
S0519,ECE,5.11,70.32,56.41,82.09,4,0,1. < 6.0,3. 65 – 79,2. 50 – 64,4. 80 – 89,3,4,Python; DSA; Cloud; Cybersecurity
S0520,CSE,7.98,67.76,81.38,65.76,2,2,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,2,5,Python; SQL; Excel; Power BI; Cybersecurity
S0521,IT,7.1,69.39,79.41,82.34,1,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Python; Cloud; Cybersecurity
S0522,ECE,7.91,78.35,76.41,91.33,1,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,2,5,Excel; Power BI; DSA; Cloud; Cybersecurity
S0523,IT,8.58,58.55,96.17,66.68,2,2,4. 8.0 – 8.99,2. 50 – 64,5. 90 – 100,3. 65 – 79,5,2,SQL; Power BI
S0524,CSE,7.62,83.23,79.85,80.97,1,0,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,6,1,Cybersecurity
S0525,EEE,7.51,62.85,67.39,64.06,3,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,2. 50 – 64,2,5,Python; Power BI; DSA; Cloud; Cybersecurity
S0526,EEE,8.16,62.5,79.51,91.7,2,0,4. 8.0 – 8.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,4,3,DSA; Cloud; Cybersecurity
S0527,CSE,7.22,80.52,54.03,96.0,3,0,3. 7.0 – 7.99,4. 80 – 89,2. 50 – 64,5. 90 – 100,3,4,Python; SQL; Cloud; Cybersecurity
S0528,ME,6.22,60.49,66.61,96.0,1,1,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,3,4,SQL; Power BI; Cloud; Cybersecurity
S0529,CE,9.25,82.11,72.03,75.47,0,0,5. 9.0 – 10.0,4. 80 – 89,3. 65 – 79,3. 65 – 79,2,5,Python; Excel; Power BI; DSA; Cybersecurity
S0530,CE,7.04,67.2,51.01,65.79,1,0,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,3,4,Python; Power BI; Cloud; Cybersecurity
S0531,CSE,8.55,91.36,96.42,87.47,3,0,4. 8.0 – 8.99,5. 90 – 100,5. 90 – 100,4. 80 – 89,5,2,DSA; Cybersecurity
S0532,IT,5.84,72.36,74.57,81.3,5,1,1. < 6.0,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Excel; Power BI; DSA
S0533,CSE,7.3,69.11,64.16,93.45,2,0,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,5. 90 – 100,4,3,Power BI; Cloud; Cybersecurity
S0534,CSE,7.77,82.71,71.06,75.03,2,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,3. 65 – 79,5,2,Excel; Cybersecurity
S0535,ECE,7.45,59.16,83.78,66.22,0,2,3. 7.0 – 7.99,2. 50 – 64,4. 80 – 89,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
